Subject,Model,Classification,Coef_Stimulus,Coef_TP,Omega,pValue
VH88,Stimulus Only,0.6060606060606061,0.706239567726543,NA,NA,NA
RA90,Stimulus Only,0.6626262626262627,1.4179146894685424,NA,NA,NA
GS76,Stimulus Only,0.6282828282828283,0.7435883392870374,NA,NA,NA
MP90,Stimulus Only,0.6585858585858586,0.6238701778010625,NA,NA,NA
RR92,Stimulus Only,0.6,0.9710555217294843,NA,NA,NA
ED77,Stimulus Only,0.701010101010101,3.0606783202620504,NA,NA,NA
RE91,Stimulus Only,0.6484848484848484,0.8319556302836321,NA,NA,NA
DS88,Stimulus Only,0.7212121212121212,1.6970260461423776,NA,NA,NA
AU91,Stimulus Only,0.604040404040404,0.9020406434117781,NA,NA,NA
BM94,Stimulus Only,0.7454545454545455,1.816887684964399,NA,NA,NA
MM87,Stimulus Only,0.5616161616161616,0.631915288404939,NA,NA,NA
LP97,Stimulus Only,0.6686868686868687,1.379876504265655,NA,NA,NA
CB97,Stimulus Only,0.6323232323232323,1.3989776713112083,NA,NA,NA
KU89,Stimulus Only,0.6242424242424243,1.1114393022276876,NA,NA,NA
RM89,Stimulus Only,0.6242424242424243,1.2762636884892633,NA,NA,NA
CA90,Stimulus Only,0.6282828282828283,0.9248744755654531,NA,NA,NA
KT96,Stimulus Only,0.5414141414141415,0.4935128824761871,NA,NA,NA
MC93,Stimulus Only,0.5454545454545454,0.48793180390013846,NA,NA,NA
KT92,Stimulus Only,0.6161616161616161,1.3083328196472235,NA,NA,NA
MC82,Stimulus Only,0.701010101010101,1.9963749429806894,NA,NA,NA
MP94,Stimulus Only,0.6060606060606061,0.8174049363991307,NA,NA,NA
RA93,Stimulus Only,0.5676767676767677,0.619209002107289,NA,NA,NA
MP92,Stimulus Only,0.6121212121212121,1.158524281142673,NA,NA,NA
EA89,Stimulus Only,0.7171717171717171,2.0310118894387488,NA,NA,NA
VH88,Transition Probability,0.6141414141414141,0.7144020349171971,0.37871250258805045,tpPredNextA5,0.01909
RA90,Transition Probability,0.6747474747474748,1.444026971746201,-0.5969897501917956,tpPredNextA4,1.4e-4
GS76,Transition Probability,0.6323232323232323,0.7824935715444357,0.4904022771454604,tpPredNextAInf,6e-5
MP90,Transition Probability,0.6585858585858586,0.5266952375596763,-0.3991090218872972,tpPredNextAInf,9e-5
RR92,Transition Probability,0.6444444444444445,0.9541787548659412,-0.5500975898489644,tpPredNextA4,2.2e-4
ED77,Transition Probability,0.7797979797979798,2.9762239377467896,-0.8530774482365009,tpPredNextA15,0
RE91,Transition Probability,0.6666666666666666,0.8227281219488514,-0.29420627194736404,tpPredNextA2,0.15005
DS88,Transition Probability,0.7212121212121212,1.7753513632027027,-1.1518950628046962,tpPredNextA1,3.3e-4
AU91,Transition Probability,0.6121212121212121,0.8124457427086992,-0.33546222017028193,tpPredNextA20,0.01315
BM94,Transition Probability,0.7818181818181819,1.8661090768880937,-1.8985597078820484,tpPredNextA1,0
MM87,Transition Probability,0.7818181818181819,1.0160994204935188,-3.7734974908497207,tpPredNextA1,0
LP97,Transition Probability,0.6686868686868687,1.4263186197082984,0.15416630066493167,tpPredNextAInf,0.2619
CB97,Transition Probability,0.7535353535353535,1.9496068864190705,4.143118687252231,tpPredNextA1,0
KU89,Transition Probability,0.6242424242424243,1.1029921446227386,-0.2858725687963908,tpPredNextA2,0.09607
RM89,Transition Probability,0.6505050505050505,1.3142457899890108,-0.6177639171166376,tpPredNextA6,0
CA90,Transition Probability,0.6282828282828283,0.9664925964810951,0.32707631043129415,tpPredNextAInf,0.08379
KT96,Transition Probability,0.6303030303030303,0.4727419929267189,-0.9167847694829597,tpPredNextA3,0
MC93,Transition Probability,0.8161616161616162,0.7586138603223452,-4.077762786972212,tpPredNextA1,0
KT92,Transition Probability,0.6181818181818182,1.3462908054229756,0.39057653443654033,tpPredNextAInf,0.0354
MC82,Transition Probability,0.701010101010101,1.9933500331405505,-0.12031319563657344,tpPredNextA15,0.56446
MP94,Transition Probability,0.6242424242424243,0.8708855788495179,0.8004704956738445,tpPredNextA6,5e-5
RA93,Transition Probability,0.6828282828282828,0.6288276098934571,-1.4386291125279382,tpPredNextA2,0
MP92,Transition Probability,0.6383838383838384,1.2514602627825275,0.7622777168019732,tpPredNextA5,0
EA89,Transition Probability,0.7171717171717171,1.997423221512998,-0.292445564391919,tpPredNextA2,0.11457
