Subject,Model,Classification,Coef,Omega,pValue
1,Base Rate,0.696236559139785,2.9410033097826864,NA,NA
2,Base Rate,0.7317073170731707,3.7596562631636155,NA,NA
3,Base Rate,0.6217331499312242,1.4983553012991242,NA,NA
1,Transition Probability,0.6774193548387096,-0.9114738086801442,tpPredNextA15,6.94752249858612e-29
2,Transition Probability,0.7789634146341463,-1.6656806109274307,tpPredNextA4,3.3820456813067617e-40
3,Transition Probability,0.6231086657496562,-0.6062566520870204,tpPredNextA13,8.49048151129933e-15
1,Base Rate + TP,0.7002688172043011,-0.6062566520870204,tpPredNextA13,8.49048151129933e-15
2,Base Rate + TP,0.7820121951219512,-0.6062566520870204,tpPredNextA3,8.49048151129933e-15
3,Base Rate + TP,0.6299862448418156,-0.6062566520870204,tpPredNextA13,8.49048151129933e-15
